sitename,classid,koeppen_code,igbp_land_use,plant_functional_type
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
AU-ASM,ENF,BSh,Open Shrublands,Shrub
